,date,Year,Month,Day,Hour,Temperature,Pressure,Humidity,Wind_Speed,Rainfall,Season,Weekend,Load,Temperature_seasonal,Pressure_seasonal,Humidity_seasonal,Wind_Speed_seasonal,Rainfall_seasonal,Season_seasonal
0,2019-01-01 00:00:00,2019,1,1,0,15.3,1020.3,97.0,2.0,0.5,4,1,1773.6,-1.2448611111111108,0.013242238562094154,5.425789419934637,-0.15549830829070743,-0.12718545751633992,-0.0016911764705882348
1,2019-01-01 01:00:00,2019,1,1,1,15.3,1020.0,97.0,2.1,1.0,4,1,1675.2,-1.4119746732026153,-0.3130273692810458,6.007423406862743,-0.1891809951335605,-0.09920751633986927,-0.001544117647058825
2,2019-01-01 02:00:00,2019,1,1,2,15.3,1019.4,97.0,2.3,0.5,4,1,1677.6,-1.5553431372549045,-0.5427357026143812,6.526385825163397,-0.23805240746660994,-0.10593545751633995,-0.001397058823529412
3,2019-01-01 03:00:00,2019,1,1,3,15.3,1019.2,97.0,2.2,0.0,4,1,1706.4,-1.676471405228758,-0.5670469771241855,6.8854462826797285,-0.25086254528985535,-0.05857026143790847,-0.0012499999999999992
4,2019-01-01 04:00:00,2019,1,1,4,15.2,1019.2,97.0,1.9,0.5,4,1,1665.6,-1.7752491830065344,-0.3522602124182998,7.187545955882354,-0.29166287919153194,0.02379493464052291,-0.0011029411764705897
5,2019-01-01 05:00:00,2019,1,1,5,15.2,1019.8,97.0,2.4,0.5,4,1,1754.4,-1.8059264705882363,0.07571282679738603,7.2036652369281065,-0.2833406640736003,0.0008782679738562663,-0.0009558823529411768
6,2019-01-01 06:00:00,2019,1,1,6,15.2,1020.4,97.0,2.5,1.0,4,1,1773.6,-1.3457875816993452,0.5591392973856166,5.639441380718949,-0.27139589993606145,-0.06673202614379084,-0.000808823529411764
7,2019-01-01 07:00:00,2019,1,1,7,15.3,1021.3,97.0,2.1,0.0,4,1,1999.2,-0.5018913398692811,0.9629554738562119,2.1177665441176505,-0.18814476324950277,-0.041413398692810424,-0.0006617647058823545
8,2019-01-01 08:00:00,2019,1,1,8,15.5,1021.7,96.0,2.6,0.5,4,1,2097.6,0.4710808823529417,1.210911356209149,-2.402192606209149,-0.024440195190394923,0.01859885620915035,-0.0005147058823529416
9,2019-01-01 09:00:00,2019,1,1,9,15.5,1021.6,96.0,2.4,0.5,4,1,2114.4,1.3432246732026147,1.1468329248366056,-6.236955678104577,0.05935505914322254,0.02362336601307193,-0.0003676470588235292
10,2019-01-01 10:00:00,2019,1,1,10,15.4,1021.1,95.0,2.1,0.0,4,1,2150.4,1.9950580065359462,0.7270142973856237,-9.08668607026143,0.16995832001278774,0.011282679738562115,-0.0002205882352941189
11,2019-01-01 11:00:00,2019,1,1,11,15.4,1019.7,95.0,1.7,0.0,4,1,2181.6,2.364202614379085,0.09647508169934882,-10.60604881535946,0.2312846200980391,0.011282679738562127,-7.352941176470514e-05
12,2019-01-01 12:00:00,2019,1,1,12,15.4,1018.8,95.0,2.7,0.5,4,1,2224.8,2.4187197712418307,-0.5792602124182993,-10.294333129084961,0.3113728553921571,-0.028705065359477092,7.352941176470601e-05
13,2019-01-01 13:00:00,2019,1,1,13,15.7,1018.2,93.0,3.0,0.0,4,1,2244.0,2.1493864379084955,-1.0711474673202594,-9.082298815359488,0.33593199861466333,0.25424836601307205,0.00022058823529411717
14,2019-01-01 14:00:00,2019,1,1,14,15.5,1018.5,94.0,2.4,0.0,4,1,2220.0,1.7731854575163397,-1.2729219771241862,-7.379823325163397,0.3220426124254048,0.32160130718954244,0.00036764705882353006
15,2019-01-01 15:00:00,2019,1,1,15,15.5,1019.1,95.0,2.0,0.0,4,1,2277.6,1.3296070261437913,-1.2071033496732035,-5.401686070261441,0.29847920662830335,0.3195424836601303,0.0005147058823529412
16,2019-01-01 16:00:00,2019,1,1,16,15.1,1019.8,95.0,2.6,0.0,4,1,2248.8,0.8216928104575175,-0.9209023692810454,-3.187029207516343,0.19821236945865292,0.06571895424836602,0.0006617647058823532
17,2019-01-01 17:00:00,2019,1,1,17,15.1,1019.7,96.0,2.6,0.5,4,1,2260.8,0.3227761437908502,-0.5516940359477145,-0.8645292075163374,0.14150925777919876,0.017790032679738582,0.0008088235294117661
18,2019-01-01 18:00:00,2019,1,1,18,15.2,1019.5,95.0,3.3,0.0,4,1,2270.4,-0.12128513071895396,-0.11521364379085197,0.8052502042483696,0.08488457747229328,-0.044256535947712373,0.0009558823529411779
19,2019-01-01 19:00:00,2019,1,1,19,15.3,1019.8,96.0,2.7,0.5,4,1,2133.6,-0.34963316993463994,0.33931821895425035,1.9614511846405218,0.00949764226342715,-0.08424428104575166,0.0011029411764705882
20,2019-01-01 20:00:00,2019,1,1,20,15.1,1020.0,96.0,2.1,0.0,4,1,1975.2,-0.536346405228758,0.6519162581699323,2.791255106209149,-0.011732430200340949,-0.13658496732026143,0.0012500000000000007
21,2019-01-01 21:00:00,2019,1,1,21,15.3,1019.9,96.0,2.6,0.5,4,1,1869.6,-0.7113807189542476,0.7608035130718964,3.34990706699346,-0.06419779678175612,-0.15098447712418303,0.0013970588235294123
22,2019-01-01 22:00:00,2019,1,1,22,15.1,1019.7,97.0,2.5,0.5,4,1,1725.6,-0.8740988562091505,0.6161613562091474,3.9116227532679737,-0.08572198689258327,-0.0737050653594771,0.0015441176470588221
23,2019-01-01 23:00:00,2019,1,1,23,15.1,1019.9,97.0,3.1,0.5,4,1,1716.0,-1.0786846405228767,0.3328304738562107,4.728632557189544,-0.10829764759164529,-0.05083741830065355,0.0016911764705882348
24,2019-01-02 00:00:00,2019,1,2,0,15.0,1019.7,97.0,2.6,0.5,4,0,1668.0,-1.2448611111111108,0.013242238562094154,5.425789419934637,-0.15549830829070743,-0.12718545751633992,-0.0016911764705882348
25,2019-01-02 01:00:00,2019,1,2,1,15.0,1019.6,97.0,1.7,0.0,4,0,1617.6,-1.4119746732026153,-0.3130273692810458,6.007423406862743,-0.1891809951335605,-0.09920751633986927,-0.001544117647058825
26,2019-01-02 02:00:00,2019,1,2,2,15.0,1019.2,96.0,1.9,0.5,4,0,1696.8,-1.5553431372549045,-0.5427357026143812,6.526385825163397,-0.23805240746660994,-0.10593545751633995,-0.001397058823529412
27,2019-01-02 03:00:00,2019,1,2,3,15.0,1018.8,96.0,2.4,0.0,4,0,1692.0,-1.676471405228758,-0.5670469771241855,6.8854462826797285,-0.25086254528985535,-0.05857026143790847,-0.0012499999999999992
28,2019-01-02 04:00:00,2019,1,2,4,15.1,1018.6,97.0,2.3,0.5,4,0,1692.0,-1.7752491830065344,-0.3522602124182998,7.187545955882354,-0.29166287919153194,0.02379493464052291,-0.0011029411764705897
29,2019-01-02 05:00:00,2019,1,2,5,15.3,1019.3,96.0,1.5,0.0,4,0,1984.8,-1.8059264705882363,0.07571282679738603,7.2036652369281065,-0.2833406640736003,0.0008782679738562663,-0.0009558823529411768
30,2019-01-02 06:00:00,2019,1,2,6,15.5,1020.3,96.0,2.3,0.5,4,0,2239.2,-1.3457875816993452,0.5591392973856166,5.639441380718949,-0.27139589993606145,-0.06673202614379084,-0.000808823529411764
31,2019-01-02 07:00:00,2019,1,2,7,15.8,1020.6,97.0,2.4,0.5,4,0,4125.6,-0.5018913398692811,0.9629554738562119,2.1177665441176505,-0.18814476324950277,-0.041413398692810424,-0.0006617647058823545
32,2019-01-02 08:00:00,2019,1,2,8,15.8,1020.7,97.0,2.6,1.0,4,0,5721.6,0.4710808823529417,1.210911356209149,-2.402192606209149,-0.024440195190394923,0.01859885620915035,-0.0005147058823529416
